"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\auth.py", "Python", 12, 0, 2, 14
"Total", "-", 12, 0, 2, 14
