"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\__init__.py", "Python", 2, 0, 0, -5, -3
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\compare_vehicles.py", "Python", 17, 0, 0, 7, 24
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\comparevehicle.html", "HTML", 0, 96, 4, 5, 105
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\page.html", "HTML", 0, 3, 0, 0, 3
"Total", "-", 19, 99, 4, 7, 129
