"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\compare_vehicles.py", "Python", 23, 0, 0, 7, 30
"c:\Users\vmlad\Downloads\OMEGA-Hustle\OMEGA-Hustle\WEB\templates\comparevehicle.html", "HTML", 0, 51, 0, 3, 54
"Total", "-", 23, 51, 0, 10, 84
